Order ID,Order Date,Region,Segment,Category,Sales,Profit,Quantity,Discount,Shipping Mode
ORD-1000,8/4/2023,West,Corporate,Office Supplies,1330.89,251.15,3,0.2,Standard Class
ORD-1001,6/29/2023,South,Consumer,Furniture,1303.98,191.46,7,0,First Class
ORD-1002,1/12/2023,Central,Home Office,Furniture,1490.62,317.82,6,0.2,Second Class
ORD-1003,5/23/2023,South,Corporate,Furniture,946.33,174.97,9,0.2,Second Class
ORD-1004,7/7/2023,Central,Home Office,Office Supplies,1583.22,171.85,9,0.2,Second Class
ORD-1005,10/25/2023,South,Consumer,Furniture,366.66,63.37,7,0.2,First Class
ORD-1006,1/13/2023,East,Home Office,Technology,837.56,54.92,8,0.2,First Class
ORD-1007,9/2/2023,West,Corporate,Furniture,659.78,226.31,4,0.1,Second Class
ORD-1008,11/10/2023,East,Home Office,Furniture,126.32,25.19,6,0,Same Day
ORD-1009,5/6/2023,South,Consumer,Office Supplies,508.37,36.01,4,0.1,Same Day
ORD-1010,11/21/2023,East,Consumer,Office Supplies,1150.73,368.59,10,0.3,Same Day
ORD-1011,9/6/2023,Central,Home Office,Furniture,1903.83,662.27,4,0.3,Standard Class
ORD-1012,6/7/2023,East,Corporate,Office Supplies,1297.65,270.05,5,0.1,Same Day
ORD-1013,8/8/2023,Central,Consumer,Office Supplies,887.36,103.86,6,0.2,Second Class
ORD-1014,2/18/2023,East,Consumer,Technology,1234.92,277.13,6,0,First Class
ORD-1015,6/24/2023,East,Home Office,Furniture,731.06,228.74,8,0,Standard Class
ORD-1016,12/22/2023,South,Home Office,Furniture,1948.04,655.04,10,0.3,Standard Class
ORD-1017,11/21/2023,East,Consumer,Office Supplies,713.79,144.6,9,0.1,First Class
ORD-1018,1/26/2023,West,Corporate,Office Supplies,820.69,283.61,8,0,First Class
ORD-1019,10/14/2023,Central,Consumer,Technology,1412.44,250.54,6,0.2,First Class
ORD-1020,11/6/2023,Central,Home Office,Technology,1482.2,153.26,10,0.1,First Class
ORD-1021,3/1/2023,Central,Home Office,Furniture,357.54,43.79,10,0,First Class
ORD-1022,4/17/2023,South,Consumer,Office Supplies,924.78,135.54,4,0.3,Same Day
ORD-1023,5/3/2023,Central,Corporate,Office Supplies,1993.02,287.6,4,0.1,Same Day
ORD-1024,10/27/2023,West,Corporate,Office Supplies,827.95,276.14,4,0.2,Second Class
ORD-1025,1/31/2023,Central,Consumer,Technology,1875.67,606.06,1,0.2,Same Day
ORD-1026,4/28/2023,South,Corporate,Office Supplies,1077.18,223.26,4,0.3,Second Class
ORD-1027,6/9/2023,West,Corporate,Office Supplies,511.56,81.86,8,0.2,Second Class
ORD-1028,2/24/2023,South,Home Office,Furniture,1805.44,369.18,4,0.2,Second Class
ORD-1029,5/26/2023,Central,Corporate,Technology,211.88,67.66,2,0.3,Same Day
ORD-1030,7/7/2023,Central,Consumer,Furniture,1505.35,319.11,2,0,Second Class
ORD-1031,5/11/2023,West,Home Office,Furniture,1100.27,260.05,2,0.1,Second Class
ORD-1032,9/1/2023,South,Consumer,Furniture,170.65,47.57,10,0.2,Second Class
ORD-1033,10/7/2023,East,Home Office,Technology,1802.87,128.05,9,0.1,Same Day
ORD-1034,1/17/2023,East,Home Office,Furniture,494.68,172.44,1,0.2,Standard Class
ORD-1035,2/10/2023,West,Consumer,Furniture,1646.28,197.42,6,0.1,Second Class
